end_station_name,member_casual,end_lat,end_lng,total_trips
"10101 S Stony Island Ave",casual,41.709999084472656,-87.58000183105469,2
"10101 S Stony Island Ave",member,41.709999084472656,-87.58000183105469,2
"111th St - Morgan Park Metra",casual,41.689998626708984,-87.66999816894531,3
"2112 W Peterson Ave",casual,41.9911764828279,-87.68359360720385,374
"2112 W Peterson Ave",member,41.991176506325054,-87.68359312834563,540
"532 E 43rd St",casual,41.81999969482422,-87.61000061035156,4
"532 E 43rd St",member,41.81999969482422,-87.61000061035156,10
"63rd & Western Ave - north corner",casual,41.779998779296875,-87.68000030517578,10
"63rd & Western Ave - north corner",member,41.779998779296875,-87.68000030517578,1
"63rd & Western Ave - south corner",casual,41.779998779296875,-87.68000030517578,4
"63rd & Western Ave - south corner",member,41.779998779296875,-87.68000030517578,1
"63rd St Beach",casual,41.780910653779,-87.57632426252269,495
"63rd St Beach",member,41.78091049194336,-87.57632446289062,375
"83rd St (Avalon Park) Metra",member,41.7400016784668,-87.5999984741211,1
"900 W Harrison St",casual,41.874757048022296,-87.64980970187048,2837
"900 W Harrison St",member,41.87475578433489,-87.64981060389029,8032
"Abbott Park",casual,41.720001220703125,-87.62000274658203,7
"Abbott Park",member,41.720001220703125,-87.62000274658203,2
"Aberdeen St & Jackson Blvd",casual,41.87772695082652,-87.6547848568687,3160
"Aberdeen St & Jackson Blvd",member,41.87772767470324,-87.65478505109907,7691
"Aberdeen St & Monroe St",casual,41.88042054229774,-87.65551798033883,2409
"Aberdeen St & Monroe St",member,41.880420864464526,-87.65551743069182,6986
"Aberdeen St & Randolph St",casual,41.8841136672207,-87.65426621823842,3563
"Aberdeen St & Randolph St",member,41.884113917907264,-87.65426532191051,6992
"Ada St & 113th St",casual,41.68756103515625,-87.65547943115234,46
"Ada St & 113th St",member,41.68756103515625,-87.65547943115234,7
"Ada St & 117th St",casual,41.68000030517578,-87.66000366210938,1
"Ada St & 119th St",casual,41.68000030517578,-87.6500015258789,1
"Ada St & 79th St",casual,41.75,-87.66000366210938,7
