hour_of_day,member_casual,avg_ride_duration
15,member,12.99725968
9,casual,24.19569103
16,casual,24.46772082
13,casual,28.22666109
22,member,12.65610257
10,casual,28.33795568
18,member,13.38928252
20,casual,22.25115373
16,member,13.14756184
11,casual,28.77660095
19,casual,22.25058594
7,member,11.54582899
2,casual,22.52598814
20,member,12.94837805
23,casual,21.72535505
1,casual,22.90831402
18,casual,22.17498230
14,member,13.07419686
10,member,12.45322331
13,member,12.72472178
17,member,13.43332264
9,member,11.63194137
12,member,12.47601831
8,member,11.34396003
17,casual,22.58973121
14,casual,28.04263380
21,member,12.60631657
19,member,13.18209097
22,casual,20.62741194
11,member,12.75222252
5,member,10.48693787
12,casual,27.98243637
7,casual,15.71875868
0,casual,21.58735022
15,casual,26.47317615
23,member,12.72650088
6,member,11.04844240
3,casual,21.64343179
1,member,12.60605059
21,casual,21.23975864
5,casual,16.73702791
8,casual,18.10261450
6,casual,16.29804229
4,member,12.62461068
4,casual,19.80873069
0,member,12.60684580
2,member,12.63524481
3,member,12.54370223
