month,member_casual,avg_ride_duration
FEB,member,10.81707202
JUL,casual,25.25622159
AUG,member,13.36070002
JUN,casual,25.34000212
OCT,member,11.90577704
SEP,member,12.86784324
APR,casual,25.99405757
NOV,casual,17.41991812
SEP,casual,22.11061824
JUN,member,13.93377083
MAY,casual,27.98805251
AUG,casual,23.61053703
APR,member,11.76363468
JUL,member,13.76210703
MAY,member,13.52628262
MAR,casual,26.69089870
NOV,member,11.00708962
MAR,member,11.95012275
OCT,casual,20.71686884
DEC,member,10.73848451
JAN,member,10.41151449
JAN,casual,18.25362713
DEC,casual,20.30515490
FEB,casual,21.58338478
