start_station_name,member_casual,start_lat,start_lng,total_trips
"10101 S Stony Island Ave",casual,41.709999084472656,-87.58000183105469,1
"111th St - Morgan Park Metra",casual,41.689998626708984,-87.66999816894531,4
"111th St - Morgan Park Metra",member,41.689998626708984,-87.66999816894531,2
"2112 W Peterson Ave",casual,41.99117188226609,-87.68359268279303,336
"2112 W Peterson Ave",member,41.991172604031036,-87.68359753078884,450
"532 E 43rd St",casual,41.81999969482422,-87.61000061035156,5
"532 E 43rd St",member,41.81999969482422,-87.61000061035156,12
"63rd & Western Ave - north corner",casual,41.779998779296875,-87.68000030517578,5
"63rd & Western Ave - south corner",casual,41.779998779296875,-87.68000030517578,3
"63rd & Western Ave - south corner",member,41.779998779296875,-87.68000030517578,4
"63rd St Beach",casual,41.78091599837593,-87.57631847547448,460
"63rd St Beach",member,41.780915486330244,-87.5763190605737,346
"83rd St (Avalon Park) Metra",casual,41.7400016784668,-87.5999984741211,1
"900 W Harrison St",casual,41.874753038285,-87.64980925406869,3033
"900 W Harrison St",member,41.87475412563643,-87.64980996902513,8075
"Abbott Park",casual,41.720001220703125,-87.62000274658203,6
"Abbott Park",member,41.720001220703125,-87.62000274658203,2
"Aberdeen St & Jackson Blvd",casual,41.87771516103593,-87.65482773795961,3150
"Aberdeen St & Jackson Blvd",member,41.87773640825197,-87.65480566077652,8117
"Aberdeen St & Monroe St",casual,41.88041264066219,-87.65556055991101,2842
"Aberdeen St & Monroe St",member,41.88042515291968,-87.65555785074126,6457
"Aberdeen St & Randolph St",casual,41.88413847462875,-87.65427666693675,3453
"Aberdeen St & Randolph St",member,41.88412043830756,-87.65427425721933,6433
"Ada St & 113th St",casual,41.69493264862985,-87.65814763849431,33
"Ada St & 113th St",member,41.68756914138794,-87.65539646148682,8
"Ada St & 117th St",casual,41.68000030517578,-87.66000366210938,1
"Ada St & 79th St",casual,41.75,-87.66000366210938,1
"Ada St & 95th St",casual,41.720001220703125,-87.66000366210938,1
"Ada St & Washington Blvd",casual,41.88283746801289,-87.6612021842215,2654
"Ada St & Washington Blvd",member,41.88283632398012,-87.6612048003972,4961
"Adler Planetarium",casual,41.8661167876448,-87.60729412524621,10834
"Adler Planetarium",member,41.8661212507812,-87.60730497476479,4430
"Al Raby School",casual,41.88999938964844,-87.72000122070312,1
"Albany Ave & 103rd St",casual,41.709999084472656,-87.69999694824219,1
"Albany Ave & 111th St - NW",casual,41.689998626708984,-87.69999694824219,2
"Albany Ave & 111th St - NW",member,41.689998626708984,-87.69999694824219,3
"Albany Ave & 16th St",casual,41.86000061035156,-87.69999694824219,71
"Albany Ave & 16th St",member,41.86000061035156,-87.69999694824219,51
"Albany Ave & 26th St",casual,41.84449797410231,-87.7020262768988,169
"Albany Ave & 26th St",member,41.84524681454613,-87.70189739408947,84
"Albany Ave & 63rd St",casual,41.779998779296875,-87.69999694824219,10
"Albany Ave & 63rd St",member,41.779998779296875,-87.69999694824219,2
