hour_of_day,member_casual,total_trips
2,casual,12593
9,casual,54186
16,casual,150792
13,casual,115575
18,casual,148796
10,casual,72017
17,casual,168177
20,casual,82273
23,casual,46420
11,casual,94277
19,casual,112950
1,casual,21081
14,casual,122332
22,casual,63388
12,casual,111401
7,casual,37412
0,casual,32894
15,casual,134481
8,casual,51493
3,casual,7131
21,casual,70481
5,casual,8359
6,casual,21371
4,casual,4614
10,member,103706
22,member,63090
21,member,84249
19,member,157454
15,member,170754
11,member,124499
5,member,26168
16,member,230345
7,member,141998
18,member,221409
20,member,109105
14,member,140624
6,member,74976
13,member,141366
1,member,15334
17,member,278230
9,member,111887
23,member,40094
12,member,143496
4,member,6070
8,member,165560
0,member,24761
2,member,8379
3,member,5121
